RowNumber,CustomerId,First Name,Second Name,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,HasCrCard
40,15585768,Hasan ,Amri,582,Selangor,Male,41,6,70349.48,2,1,178074.04,0
41,15619360,Khairul,Syamsul,472,Pahang,Male,40,4,0,1,0,70154.22,1
42,15738148,Elsa,Bella,465,Pahang,Female,51,8,122522.32,1,0,181297.65,0
43,15687946,Nisha,Dwi,556,Johor,Female,61,2,117419.35,1,1,94153.83,1
44,15755196,Nisha,Dania,834,Selangor,Female,49,2,131394.56,1,0,194365.76,0
45,15684171,Hawa,Tia,660,Pahang,Female,61,5,155931.11,1,1,158338.39,1
46,15754849,Mila,Nisha,776,Kelantan,Female,32,4,109421.13,2,1,126517.46,1
47,15602280,Salma,Zara,829,Selangor,Female,27,9,112045.67,1,1,119708.21,1
48,15771573,Tia,Jolie,637,Johor,Female,39,9,137843.8,1,1,117622.8,1
49,15766205,Daud ,Zaid,550,Pahang,Male,38,2,103391.38,1,1,90878.13,0
50,15771873,Salma,Hiza,776,Kelantan,Female,37,2,103769.22,2,0,194099.12,1
51,15616550,Imran ,Khairul,698,Kelantan,Male,44,10,116363.37,2,0,198059.16,1
52,15768193,Rafi,Rafi,585,Pahang,Male,36,5,146050.97,2,0,86424.57,0
53,15683553,Elsa,Mila,788,Selangor,Female,33,5,0,2,0,116978.19,0
54,15702298,Syamsul,Sadiq ,655,Kelantan,Male,41,8,125561.97,1,0,164040.94,0
55,15569590,Umar ,Daniel,601,Selangor,Male,42,1,98495.72,1,0,40014.76,1
56,15760861,Daud ,Sadiq ,619,Pahang,Male,43,1,125211.92,1,1,113410.49,1
57,15630053,Hasan ,Amin,656,Selangor,Male,45,5,127864.4,1,0,87107.57,1
58,15647091,Imran ,Ramzi ,725,Kelantan,Male,19,0,75888.2,1,0,45613.75,0
59,15623944,Hawa,Bella,511,Selangor,Female,66,4,0,1,0,1643.11,1
60,15804771,Khairul,Tariq ,614,Pahang,Male,51,4,40685.92,1,1,46775.28,1
61,15651280,Jamil ,Daud ,742,Selangor,Male,35,5,136857,1,0,84509.57,0
62,15773469,Elsa,Ella,687,Pahang,Female,27,9,152328.88,2,0,126494.82,0
63,15702014,Jamil ,Sadiq ,555,Selangor,Male,33,1,56084.69,2,0,178798.13,0
64,15751208,Umar ,Fauzi ,684,Kelantan,Male,56,8,78707.16,1,1,99398.36,1
65,15592461,Zaid,Khairul,603,Selangor,Male,26,4,109166.37,1,1,92840.67,1
66,15789484,Samima,Zainab,751,Kelantan,Female,36,6,169831.46,2,1,27758.36,1
67,15696061,Jolie,Mila,581,Kelantan,Female,34,1,101633.04,1,0,110431.51,1
68,15641582,Hasan ,Khairul,735,Pahang,Male,43,10,123180.01,2,1,196673.28,1
69,15638424,Mila,Asha ,661,Pahang,Female,35,5,150725.53,2,1,113656.85,0
70,15755648,Hiza,Fiza,675,Pahang,Female,21,8,98373.26,1,0,18203,1
71,15703793,Lutfi ,Rafi,738,Kelantan,Male,58,2,133745.44,4,0,28373.86,1
72,15620344,Rafi,Amin,813,Kelantan,Male,29,6,0,1,0,33953.87,1
73,15812518,Dania,Dwi,657,Johor,Female,37,0,163607.18,1,1,44203.55,0
74,15779052,Tia,Dania,604,Johor,Female,25,5,157780.84,2,1,58426.81,1
75,15770811,Imran ,Abu,519,Selangor,Male,36,9,0,2,1,145562.4,0
76,15780961,Lela,Nisha,735,Pahang,Female,21,1,178718.19,2,0,22388,1
77,15614049,Fauzi ,Sadiq ,664,Selangor,Male,55,8,0,2,1,139161.64,1
78,15662085,Samima,Fiza,678,Johor,Female,32,9,0,1,1,148210.64,1
79,15575185,Sadiq ,Ramli ,757,Johor,Male,33,5,77253.22,1,1,194239.63,0
80,15803136,Bella,Latifa,416,Kelantan,Female,41,10,122189.66,2,0,98301.61,1
81,15706021,Jolie,Ella,665,Pahang,Female,34,1,96645.54,2,0,171413.66,0
82,15663706,Fiza,Asha ,777,Johor,Female,32,2,0,1,0,136458.19,1
83,15641732,Elsa,Tia,543,Johor,Female,36,3,0,2,0,26019.59,0
84,15701164,Mila,Mila,506,Johor,Female,34,4,90307.62,1,1,159235.29,1
85,15738751,Zainab,Dania,493,Pahang,Female,46,4,0,2,0,1907.66,1
86,15805254,Dania,Salma,652,Pahang,Female,75,10,0,2,1,114675.75,1
87,15762418,Sadiq ,Syamsul,750,Selangor,Male,22,3,121681.82,1,0,128643.35,1
88,15625759,Abu,Khairul,729,Pahang,Male,30,9,0,2,0,151869.35,1
89,15622897,Zara,Bella,646,Johor,Female,46,4,0,3,0,93251.42,1
90,15767954,Mila,Elsa,635,Johor,Female,28,3,81623.67,2,1,156791.36,1
91,15757535,Samima,Tia,647,Kelantan,Female,44,5,0,3,1,174205.22,1
92,15731511,Lutfi ,Daud ,808,Johor,Male,45,7,118626.55,2,0,147132.46,1
93,15809248,Jolie,Salma,524,Kelantan,Female,36,10,0,2,0,109614.57,1
94,15640635,Imran ,Syamsul,769,Pahang,Male,29,8,0,2,1,172290.61,1
95,15676966,Ramzi ,Ramzi ,730,Pahang,Male,42,4,0,2,1,85982.47,0
96,15699461,Zaid,Tariq ,515,Johor,Male,35,10,176273.95,1,1,121277.78,0
97,15738721,Rafi,Sadiq ,773,Johor,Male,41,9,102827.44,1,1,64595.25,0
98,15693683,Jamil ,Jamil ,814,Pahang,Male,29,8,97086.4,2,1,197276.13,1
99,15604348,Jamil ,Amin,710,Pahang,Male,22,8,0,2,0,99645.04,0
100,15633059,Imran ,Amri,413,Johor,Male,34,9,0,2,0,6534.18,0
101,15808582,Bella,Fiza,665,Johor,Female,40,6,0,1,1,161848.03,1
102,15743192,Jolie,Bella,623,Selangor,Female,44,6,0,2,0,167162.43,0
103,15580146,Daniel,Amri,738,Kelantan,Male,31,9,82674.15,1,0,41970.72,1
104,15776605,Khairul,Zaid,528,Selangor,Male,36,7,0,2,0,60536.56,1
105,15804919,Zara,Lela,670,Selangor,Female,65,1,0,1,1,177655.68,1
106,15613854,Hawa,Zara,622,Johor,Female,46,4,107073.27,2,1,30984.59,1
107,15599195,Ramli ,Ramli ,582,Selangor,Male,32,1,88938.62,1,1,10054.53,1
108,15812878,Zainab,Tia,785,Johor,Female,36,2,99806.85,1,1,36976.52,0
109,15602312,Amri,Ramli ,605,Johor,Male,33,5,150092.8,1,0,71862.79,0
110,15744689,Fauzi ,Umar ,479,Kelantan,Male,35,9,92833.89,1,0,99449.86,1
111,15803526,Daud ,Abu,685,Johor,Male,30,3,90536.81,1,1,63082.88,0
112,15665790,Lutfi ,Hasan ,538,Kelantan,Male,39,7,108055.1,2,0,27231.26,1
113,15715951,Umar ,Syamsul,562,Johor,Male,42,2,100238.35,1,0,86797.41,0
114,15591100,Khairul,Abu,675,Pahang,Male,36,9,106190.55,1,1,22994.32,0
115,15609618,Jamil ,Jamil ,721,Johor,Male,28,9,154475.54,2,1,101300.94,0
116,15675522,Rose,Rose,628,Johor,Female,30,9,132351.29,2,1,74169.13,1
117,15705512,Latifa,Dania,668,Johor,Female,37,6,167864.4,1,0,115638.29,1
118,15698028,Salma,Asha ,506,Johor,Female,41,1,0,2,0,31766.3,1
119,15661670,Bella,Hawa,524,Johor,Female,31,8,107818.63,1,0,199725.39,1
120,15600781,Fauzi ,Syamsul,699,Selangor,Male,34,4,185173.81,2,0,120834.48,1
121,15682472,Khairul,Daud ,828,Kelantan,Male,34,8,129433.34,2,0,38131.77,0
122,15580203,Ramli ,Sadiq ,674,Selangor,Male,39,6,120193.42,1,0,100130.95,0
123,15690673,Elsa,Samima,656,Johor,Female,39,6,0,2,0,141069.88,1
124,15760085,Mila,Lela,684,Kelantan,Female,48,10,126384.42,1,1,198129.36,1
125,15779659,Zara,Asha ,625,Selangor,Female,28,3,0,1,0,183646.41,0
126,15627360,Daud ,Fauzi ,432,Kelantan,Male,42,9,152603.45,1,0,110265.24,1
127,15671137,Lela,Nisha,549,Johor,Female,52,1,0,1,1,8636.05,0
128,15782688,Tariq ,Fauzi ,625,Selangor,Male,56,0,148507.24,1,0,46824.08,1
129,15575492,Bella,Mila,828,Pahang,Female,41,7,0,2,0,171378.77,1
130,15591607,Umar ,Amin,770,Selangor,Male,24,9,101827.07,1,0,167256.35,1
131,15740404,Zara,Samima,758,Pahang,Female,34,3,0,2,1,124226.16,1
132,15718369,Dwi,Hawa,795,Johor,Female,33,9,130862.43,1,1,114935.21,1
133,15677871,Lutfi ,Amri,687,Selangor,Male,38,9,122570.87,1,1,35608.88,1
134,15642004,Ghani ,Daud ,686,Kelantan,Male,25,1,0,2,1,16459.37,0
135,15712543,Lutfi ,Ghani ,789,Selangor,Male,39,7,124828.46,2,1,124411.08,1
136,15584518,Salma,Fiza,589,Selangor,Female,50,5,144895.05,2,1,34941.23,1
137,15802381,Salma,Dania,461,Johor,Female,34,5,63663.93,1,1,167784.28,0
138,15610156,Ramzi ,Jamil ,637,Kelantan,Male,40,2,133463.1,1,1,93165.34,0
139,15594408,Lela,Mila,584,Kelantan,Female,48,2,213146.2,1,0,75161.25,1
140,15640905,Dwi,Asha ,579,Kelantan,Female,35,1,129490.36,2,1,8590.83,0
141,15698932,Tariq ,Imran ,756,Selangor,Male,44,10,137452.09,1,0,189543.9,1
142,15724944,Abu,Ramli ,663,Kelantan,Male,34,7,0,2,1,180427.24,1
143,15628145,Fiza,Zainab,682,Johor,Female,43,5,125851.93,1,1,193318.33,1
144,15713483,Jamil ,Syamsul,793,Pahang,Male,52,2,0,1,0,159123.82,1
145,15612350,Elsa,Asha ,691,Kelantan,Female,31,5,40915.55,1,0,126213.84,1
146,15800703,Bella,Salma,485,Johor,Female,21,5,113157.22,1,1,54141.5,1
147,15705707,Bella,Hawa,635,Selangor,Female,29,8,138296.94,2,0,141075.51,1
148,15754105,Lutfi ,Abu,650,Selangor,Male,37,5,106967.18,1,0,24495.03,0
149,15703264,Rafi,Tariq ,735,Pahang,Male,44,9,120681.63,1,0,74836.34,1
150,15794413,Daud ,Ramli ,416,Selangor,Male,32,0,0,2,1,878.87,0
151,15650237,Nisha,Rose,754,Selangor,Female,32,7,0,2,0,89520.75,1
152,15759618,Asha ,Latifa,535,Kelantan,Female,48,9,0,1,0,149892.79,1
153,15811589,Amin,Khairul,716,Selangor,Male,42,8,0,2,0,180800.42,1
154,15689044,Fauzi ,Rafi,539,Kelantan,Male,37,2,127609.59,1,0,98646.22,1
155,15709368,Fiza,Latifa,614,Pahang,Female,43,6,0,2,1,109041.53,1
156,15679145,Imran ,Daud ,706,Pahang,Male,57,7,0,1,0,17941.16,1
157,15655007,Rose,Samima,758,Selangor,Female,33,7,0,2,0,82996.47,0
158,15623595,Jolie,Zainab,586,Pahang,Female,28,2,0,2,1,92067.35,1
159,15589975,Hiza,Zara,646,Pahang,Female,73,6,97259.25,1,1,104719.66,0
160,15804017,Mila,Rose,631,Selangor,Female,33,4,123246.7,1,0,112687.57,0
161,15692132,Samima,Dwi,717,Johor,Female,22,6,101060.25,1,1,84699.56,0
162,15641122,Tariq ,Lutfi ,684,Kelantan,Male,30,2,0,2,0,83473.82,1
163,15630910,Dania,Fiza,800,Johor,Female,49,7,108007.36,1,0,47125.11,0
164,15680772,Hiza,Salma,721,Johor,Female,36,2,0,2,1,106977.8,1
165,15658929,Zaid,Ramli ,683,Pahang,Male,29,0,133702.89,1,0,55582.54,1
166,15585388,Fauzi ,Khairul,660,Selangor,Male,31,9,125189.75,2,1,139874.43,1
167,15724623,Fiza,Salma,704,Selangor,Female,24,7,113034.22,1,0,162503.48,1
168,15588537,Nisha,Fiza,615,Johor,Female,41,9,109013.23,1,0,196499.96,1
169,15574692,Samima,Dwi,667,Kelantan,Female,39,2,0,2,0,40721.24,1
170,15611325,Syamsul,Imran ,682,Johor,Male,24,9,57929.81,2,0,53134.3,0
171,15587562,Asha ,Lela,484,Kelantan,Female,29,4,130114.39,1,0,164017.89,1
172,15613172,Sadiq ,Rafi,628,Pahang,Male,27,5,95826.49,2,0,155996.96,1
173,15651022,Ramli ,Ramzi ,480,Johor,Male,44,10,129608.57,1,0,5472.7,1
174,15586310,Lutfi ,Imran ,578,Pahang,Male,30,4,169462.09,1,0,112187.11,1
175,15625524,Zaid,Syamsul,512,Kelantan,Male,40,5,0,2,1,146457.83,1
176,15755209,Tia,Rose,484,Kelantan,Female,35,7,133868.21,1,1,27286.1,1
177,15645248,Fiza,Tia,510,Kelantan,Female,30,0,0,2,1,130553.47,1
178,15790355,Daniel,Daud ,606,Selangor,Male,36,5,190479.48,2,0,179351.89,0
179,15762615,Bella,Zainab,597,Johor,Female,40,8,101993.12,1,1,94774.12,0
180,15625426,Jolie,Zainab,754,Kelantan,Female,55,3,161608.81,1,0,8080.85,1
181,15716334,Dwi,Hiza,850,Johor,Female,45,2,122311.21,1,1,19482.5,1
182,15789669,Ramzi ,Abu,510,Pahang,Male,65,2,0,2,1,48071.61,1
183,15621075,Fiza,Asha ,778,Johor,Female,45,1,162150.42,2,0,174531.27,1
184,15810845,Syamsul,Khairul,636,Kelantan,Male,42,2,0,2,1,55470.78,1
185,15719377,Elsa,Dwi,804,Kelantan,Female,50,4,0,1,1,8546.87,1
186,15654506,Tariq ,Daniel,514,Pahang,Male,32,8,0,2,0,95857.18,1
187,15771977,Nisha,Lela,730,Selangor,Female,39,1,99010.67,1,0,194945.8,1
188,15708710,Latifa,Ella,525,Pahang,Female,37,0,0,1,1,131521.72,0
189,15726676,Khairul,Rafi,616,Johor,Male,30,5,0,2,1,196108.51,0
190,15587421,Bella,Jolie,687,Selangor,Female,34,7,111388.18,2,0,148564.76,1
191,15726931,Asha ,Rose,715,Kelantan,Female,41,8,56214.85,2,0,92982.61,0
192,15771086,Tia,Salma,512,Selangor,Female,36,3,84327.77,2,0,17675.36,1
193,15756850,Ramli ,Amin,479,Pahang,Male,40,1,0,2,0,114996.43,0
194,15702741,Fauzi ,Ramzi ,601,Kelantan,Male,32,8,93012.89,1,0,86957.42,1
195,15679200,Khairul,Hasan ,580,Selangor,Male,29,9,61710.44,2,0,128077.8,1
196,15594815,Ramli ,Abu,807,Pahang,Male,35,3,174790.15,1,1,600.36,1
197,15635905,Rose,Asha ,616,Pahang,Female,32,6,0,2,1,43001.46,1
198,15777892,Ramzi ,Jamil ,721,Kelantan,Male,37,3,107720.64,1,1,158591.12,1
199,15656176,Ramzi ,Daniel,501,Johor,Male,57,10,0,2,1,47847.19,1
200,15811127,Khairul,Umar ,521,Johor,Male,35,6,96423.84,1,0,10488.44,1
201,15604482,Hasan ,Umar ,850,Selangor,Male,30,2,141040.01,1,1,5978.2,1
202,15622911,Imran ,Daniel,759,Selangor,Male,42,4,105420.18,1,1,121409.06,0
203,15600974,Daud ,Abu,516,Johor,Male,50,5,0,1,1,146145.93,0
204,15727868,Latifa,Salma,711,Johor,Female,38,2,129022.06,2,1,14374.86,1
205,15627801,Khairul,Sadiq ,512,Johor,Male,33,3,176666.62,1,0,94670.77,1
206,15773039,Khairul,Fauzi ,550,Kelantan,Male,37,3,0,1,1,179670.31,1
207,15755262,Rose,Dania,608,Kelantan,Female,41,3,89763.84,1,0,199304.74,0
208,15679531,Daud ,Khairul,618,Kelantan,Male,34,5,134954.53,1,1,151954.39,1
209,15684181,Tariq ,Hasan ,643,Johor,Male,45,5,0,1,0,142513.5,1
210,15612087,Ramli ,Daud ,671,Kelantan,Male,45,2,106376.85,1,1,158264.62,0
211,15752047,Lutfi ,Amin,689,Pahang,Male,33,2,161814.64,2,0,169381.9,1
212,15624592,Jamil ,Lutfi ,603,Johor,Male,31,8,0,2,1,169915.02,1
213,15573152,Zara,Mila,620,Selangor,Female,41,9,0,2,0,88852.47,0
214,15594917,Tia,Latifa,676,Selangor,Female,34,1,63095.01,1,1,40645.81,1
215,15785542,Zaid,Imran ,572,Pahang,Male,26,4,118287.01,2,0,60427.3,0
216,15723488,Ramli ,Abu,668,Selangor,Male,47,7,106854.21,1,1,157959.02,0
217,15680920,Amri,Amin,695,Kelantan,Male,46,7,49512.55,1,0,133007.34,1
218,15786308,Rose,Asha ,730,Johor,Female,33,9,0,2,0,176576.62,0
219,15659366,Imran ,Daud ,807,Johor,Male,43,1,105799.32,2,0,34888.04,1
220,15774854,Ghani ,Abu,592,Selangor,Male,54,8,0,1,1,28737.71,1
221,15725311,Samima,Mila,726,Pahang,Female,31,9,114722.05,2,1,98178.57,1
222,15787155,Abu,Umar ,514,Selangor,Male,30,7,0,1,1,125010.24,0
223,15727829,Abu,Amin,567,Kelantan,Male,42,2,0,2,1,167984.61,1
224,15733247,Amri,Daud ,850,Selangor,Male,33,10,0,1,0,4861.72,1
225,15568748,Imran ,Hasan ,671,Kelantan,Male,45,6,99564.22,1,1,108872.45,1
226,15699029,Jamil ,Zaid,670,Selangor,Male,37,4,170557.91,2,0,198252.88,1
227,15774393,Lela,Dania,694,Kelantan,Female,30,9,0,2,1,26960.31,1
228,15676895,Hawa,Zainab,547,Pahang,Female,39,6,74596.15,3,1,85746.52,1
229,15637753,Rafi,Ramzi ,751,Kelantan,Male,50,2,96888.39,1,0,77206.25,1
230,15605461,Hawa,Samima,594,Kelantan,Female,29,3,130830.22,1,0,61048.53,1
231,15808473,Fauzi ,Ramzi ,673,Johor,Male,72,1,0,2,1,111981.19,0
232,15627000,Lutfi ,Imran ,610,Kelantan,Male,40,0,0,2,0,62232.6,1
233,15787174,Dwi,Zainab,512,Pahang,Female,37,1,0,2,1,156105.03,0
234,15723886,Ghani ,Amri,767,Selangor,Male,20,3,119714.25,2,1,150135.38,0
235,15704769,Fiza,Dania,585,Kelantan,Female,67,5,113978.97,2,1,93146.11,0
236,15772896,Rafi,Ramzi ,763,Pahang,Male,42,6,100160.75,1,0,33462.94,1
237,15711540,Jolie,Rose,712,Selangor,Female,29,2,0,1,1,144375,1
238,15764866,Tia,Zainab,539,Kelantan,Female,43,3,116220.5,3,0,55803.96,1
239,15794056,Tia,Asha ,668,Pahang,Female,46,2,0,3,0,89048.46,1
240,15795149,Daud ,Syamsul,703,Pahang,Male,28,2,81173.83,2,1,162812.16,0
241,15812009,Sadiq ,Hasan ,662,Selangor,Male,38,4,0,2,0,136259.65,1
242,15651001,Tia,Asha ,725,Pahang,Female,39,5,116803.8,1,0,124052.97,1
243,15813844,Khairul,Syamsul,703,Johor,Male,37,8,105961.68,2,1,74158.8,0
244,15596175,Amri,Lutfi ,659,Selangor,Male,67,6,117411.6,1,1,45071.09,1
245,15576269,Hasan ,Fauzi ,523,Pahang,Male,34,7,0,2,0,62030.06,1
246,15797219,Jolie,Samima,635,Kelantan,Female,40,10,123497.58,1,0,131953.23,1
247,15685500,Amin,Ramzi ,772,Johor,Male,26,7,152400.51,2,0,79414,1
248,15599792,Mila,Bella,545,Selangor,Female,26,1,0,2,1,199638.56,1
249,15657566,Amin,Syamsul,634,Pahang,Male,24,8,103097.85,1,1,157577.29,1
250,15772423,Daud ,Umar ,739,Johor,Male,54,8,126418.14,1,0,134420.75,1
251,15628112,Tia,Hiza,771,Selangor,Female,36,5,77846.9,1,0,99805.99,0
252,15753754,Hiza,Tia,587,Johor,Female,34,1,0,2,1,97932.68,1
253,15793726,Latifa,Mila,681,Pahang,Female,79,0,0,2,1,170968.99,0
254,15694717,Syamsul,Amin,544,Selangor,Male,37,2,79731.91,1,1,57558.95,1
255,15665834,Rafi,Lutfi ,696,Johor,Male,28,8,0,1,0,176713.47,0
256,15765297,Lutfi ,Khairul,766,Johor,Male,41,0,0,2,1,34283.23,0
257,15636684,Lutfi ,Daud ,727,Johor,Male,34,10,0,2,1,198637.34,1
258,15592979,Jolie,Zara,671,Johor,Female,34,6,37266.67,2,0,156917.12,0
259,15750803,Zainab,Ella,693,Selangor,Female,30,6,127992.25,1,1,50457.2,1
260,15607178,Amin,Ramli ,850,Kelantan,Male,38,3,54901.01,1,1,140075.55,1
261,15713853,Lutfi ,Lutfi ,732,Johor,Male,42,9,108748.08,2,1,65323.11,1
262,15673481,Bella,Latifa,726,Pahang,Female,48,6,99906.19,1,0,64323.24,1
263,15686776,Rose,Jolie,557,Selangor,Female,32,6,184686.41,2,0,14956.44,1
264,15673693,Hawa,Asha ,682,Pahang,Female,26,0,110654.02,1,1,111879.21,0
265,15700696,Rafi,Rafi,738,Kelantan,Male,31,9,79019.8,1,1,18606.23,1
266,15813163,Bella,Hiza,531,Johor,Female,36,9,99240.51,1,0,123137.01,1
267,15653857,Lutfi ,Daud ,498,Johor,Male,34,2,0,2,1,148528.24,1
268,15777076,Sadiq ,Daniel,651,Selangor,Male,36,7,0,2,0,13898.31,1
269,15717398,Lela,Lela,549,Johor,Female,39,7,0,1,0,81259.25,0
270,15799217,Fiza,Ella,791,Selangor,Female,35,7,52436.2,1,0,161051.75,1
271,15787071,Syamsul,Syamsul,650,Pahang,Male,41,9,0,2,1,191599.67,0
272,15619955,Khairul,Khairul,733,Pahang,Male,34,3,100337.96,3,0,48559.19,1
273,15796505,Zara,Zara,811,Kelantan,Female,34,1,149297.19,2,1,186339.74,1
274,15725166,Ramzi ,Lutfi ,707,Selangor,Male,30,8,0,2,0,33159.37,1
275,15800116,Lutfi ,Sadiq ,712,Pahang,Male,28,4,145605.44,1,1,93883.53,0
276,15758685,Rose,Nisha,706,Johor,Female,37,7,0,2,1,110899.3,1
277,15694456,Abu,Lutfi ,756,Kelantan,Male,62,3,0,1,1,11199.04,1
278,15767339,Tia,Mila,777,Johor,Female,53,10,0,2,0,189992.97,1
279,15683562,Umar ,Umar ,646,Johor,Male,35,6,84026.86,1,1,164255.69,0
280,15782210,Lutfi ,Syamsul,714,Johor,Male,46,1,0,1,0,152167.79,1
281,15668893,Daniel,Sadiq ,782,Kelantan,Male,39,8,0,2,1,33949.67,1
282,15669169,Abu,Khairul,775,Johor,Male,29,10,0,2,1,68143.93,1
283,15643024,Ramli ,Ramli ,479,Johor,Male,35,4,138718.92,1,1,47251.79,1
284,15699389,Abu,Imran ,807,Selangor,Male,42,7,118274.71,1,1,25885.72,1
285,15708608,Lela,Fiza,799,Kelantan,Female,22,8,174185.98,2,1,192633.85,0
286,15626144,Lutfi ,Khairul,675,Kelantan,Male,40,7,113208.86,2,0,34577.36,1
287,15573112,Lutfi ,Jamil ,602,Selangor,Male,29,5,103907.28,1,0,161229.84,1
288,15790678,Hawa,Tia,475,Johor,Female,32,8,119023.28,1,0,100816.29,1
289,15727556,Asha ,Latifa,744,Kelantan,Female,26,5,166297.89,1,1,181694.44,1
290,15697307,Daniel,Tariq ,588,Selangor,Male,34,10,0,2,0,79078.91,1
291,15652266,Daniel,Khairul,703,Kelantan,Male,42,9,63227,1,1,137316.32,0
292,15607098,Asha ,Nisha,747,Kelantan,Female,41,5,94521.17,2,0,194926.86,1
293,15655774,Rafi,Jamil ,583,Selangor,Male,27,7,0,2,0,51285.49,1
294,15590241,Dania,Dania,750,Selangor,Female,34,9,112822.26,1,0,150401.53,0
295,15785819,Lutfi ,Tariq ,681,Johor,Male,38,3,0,2,1,112491.96,1
296,15723654,Ramli ,Tariq ,773,Kelantan,Male,25,2,135903.33,1,0,73656.38,1
297,15774510,Dwi,Hiza,714,Kelantan,Female,31,4,125169.26,1,1,106636.89,1
298,15684173,Zara,Ella,687,Kelantan,Female,44,7,0,3,0,155853.52,1
299,15650068,Daniel,Hasan ,511,Selangor,Male,58,0,149117.31,1,1,162599.51,1
300,15811490,Umar ,Syamsul,627,Selangor,Male,33,5,0,2,1,103737.82,1
301,15803976,Lela,Rose,694,Pahang,Female,31,10,0,2,0,160990.27,1
302,15682541,Dania,Latifa,616,Johor,Female,36,6,132311.71,1,0,15462.84,0
303,15695699,Ghani ,Daud ,687,Kelantan,Male,35,8,0,2,0,10334.05,1
304,15624188,Bella,Hiza,712,Johor,Female,33,6,0,2,1,190686.16,1
305,15812191,Zaid,Abu,553,Selangor,Male,33,4,118082.89,1,0,94440.45,0
306,15636673,Hasan ,Imran ,667,Johor,Male,31,1,119266.69,1,1,28257.63,1
307,15594898,Sadiq ,Daud ,731,Selangor,Male,43,2,0,1,1,170034.95,1
308,15660211,Amri,Syamsul,629,Kelantan,Male,35,7,156847.29,2,0,31824.29,1
